seller_id,month,tenure_months,orders,gmv,returns,ads_spend,active
S100035,2025-08-01,10,35,1254.21,1,84.58,True
S100035,2025-09-01,11,28,772.24,3,55.34,True
S100035,2025-10-01,12,13,434.63,1,31.39,True
S100035,2025-11-01,13,40,490.54,2,22.23,True
S100035,2025-12-01,14,27,705.22,3,36.14,True
S100035,2026-01-01,15,46,1606.32,5,132.91,True
S100035,2026-02-01,16,23,847.3,1,45.33,True
S100035,2026-03-01,17,50,1576.91,6,130.07,True
S100035,2026-04-01,18,41,1283.1,3,55.62,True
S100035,2026-05-01,19,31,717.38,2,32.68,True
S100035,2026-06-01,20,15,361.67,4,24.13,True
S100036,2024-08-01,0,16,181.31,0,11.02,True
S100036,2024-09-01,1,14,205.73,1,9.05,True
S100036,2024-10-01,2,14,173.36,0,14.45,True
S100036,2024-11-01,3,29,382.48,1,11.85,True
S100036,2024-12-01,4,21,217.44,1,16.83,True
S100036,2025-01-01,5,20,357.93,2,29.93,True
S100036,2025-02-01,6,21,201.14,0,11.88,True
S100036,2025-03-01,7,32,630.17,1,43.97,True
S100036,2025-04-01,8,32,429.46,1,32.26,True
S100036,2025-05-01,9,20,348.45,1,13.06,True
S100036,2025-06-01,10,20,160.16,1,7.59,True
S100036,2025-07-01,11,15,245.71,2,19.22,True
S100036,2025-08-01,12,20,290.8,0,21.16,True
S100036,2025-09-01,13,20,354.36,0,21.15,True
S100036,2025-10-01,14,22,337.37,0,23.44,True
S100036,2025-11-01,15,33,524.39,3,34.55,True
S100036,2025-12-01,16,40,769.75,0,64.23,True
S100037,2025-07-01,0,75,2191.38,15,250.19,True
S100037,2025-08-01,1,15,387.89,2,29.39,True
S100037,2025-09-01,2,40,1324.46,12,136.58,True
S100037,2025-10-01,3,218,7177.66,39,610.08,True
S100037,2025-11-01,4,55,1695.65,12,175.5,True
S100037,2025-12-01,5,88,1935.62,15,147.66,True
S100037,2026-01-01,6,33,834.88,4,58.92,True
S100037,2026-02-01,7,82,1714.73,13,188.29,True
S100037,2026-03-01,8,70,2184.26,14,234.62,True
S100037,2026-04-01,9,92,2782.69,22,293.72,True
S100037,2026-05-01,10,108,1788.59,23,131.15,True
S100037,2026-06-01,11,57,2129.93,4,138.24,True
S100038,2024-12-01,0,57,1438.69,2,106.82,True
S100038,2025-01-01,1,46,914.8,5,55.79,True
S100038,2025-02-01,2,30,850.26,2,51.76,True
S100038,2025-03-01,3,25,615.88,3,53.28,True
S100038,2025-04-01,4,37,1066.06,0,72.99,True
S100039,2025-12-01,0,24,774.04,3,63.29,True
S100039,2026-01-01,1,22,916.08,1,29.87,True
S100039,2026-02-01,2,16,324.08,2,15.91,True
S100039,2026-03-01,3,14,346.85,1,22.14,True
S100039,2026-04-01,4,14,464.55,2,24.99,True
S100039,2026-05-01,5,8,215.16,2,7.24,True
S100039,2026-06-01,6,11,292.7,2,12.86,True
S100040,2025-06-01,0,30,705.5,1,19.06,True
S100040,2025-07-01,1,129,2371.2,12,229.14,True
S100040,2025-08-01,2,49,1336.83,3,66.29,True
S100040,2025-09-01,3,78,2143.63,8,79.63,True
S100040,2025-10-01,4,65,1058.53,3,95.68,True
S100040,2025-11-01,5,58,1430.54,4,92.06,True
S100040,2025-12-01,6,47,900.26,4,33.72,True
S100040,2026-01-01,7,140,3117.47,7,278.82,True
S100040,2026-02-01,8,91,865.69,7,55.08,True
S100040,2026-03-01,9,65,677.47,2,25.31,True
S100040,2026-04-01,10,51,1648.37,4,74.93,True
S100040,2026-05-01,11,84,1589.69,6,147.01,True
S100040,2026-06-01,12,68,1644.92,3,128.44,True
S100041,2026-03-01,0,29,446.82,1,16.93,True
S100041,2026-04-01,1,15,240.82,0,16.56,True
S100041,2026-05-01,2,39,646.87,2,35.15,True
S100041,2026-06-01,3,9,118.36,0,10.31,True
S100042,2025-12-01,0,46,719.97,2,46.32,True
S100042,2026-01-01,1,26,406.96,0,30.96,True
S100042,2026-02-01,2,18,181.1,0,11.01,True
S100042,2026-03-01,3,57,1048.6,2,85.57,True
S100042,2026-04-01,4,24,270.58,0,13.43,True
S100042,2026-05-01,5,41,547.55,1,46.6,True
S100042,2026-06-01,6,19,282.81,3,25.05,True
S100043,2025-03-01,0,3,53.38,0,3.97,True
S100043,2025-04-01,1,14,179.88,0,9.27,True
S100043,2025-05-01,2,14,145.34,0,8.23,True
S100043,2025-06-01,3,53,477.5,1,27.31,True
S100043,2025-07-01,4,17,303.01,0,13.68,True
S100043,2025-08-01,5,23,344.43,1,18.16,True
S100043,2025-09-01,6,13,275.24,0,11.62,True
S100043,2025-10-01,7,17,190.57,0,14.97,True
S100043,2025-11-01,8,17,132.55,0,11.87,True
S100043,2025-12-01,9,34,452.66,0,24.35,True
S100043,2026-01-01,10,15,255.48,0,22.14,True
S100044,2026-03-01,0,22,415.27,1,19.76,True
S100044,2026-04-01,1,21,258.11,1,17.82,True
S100044,2026-05-01,2,30,505.26,0,21.89,True
S100044,2026-06-01,3,72,825.53,3,19.15,True
S100045,2026-03-01,0,8,258.75,1,18.67,True
S100045,2026-04-01,1,13,376.42,1,14.76,True
S100045,2026-05-01,2,6,254.67,0,19.42,True
S100045,2026-06-01,3,9,209.12,2,12.63,True
S100046,2025-05-01,0,40,927.47,3,99.07,True
S100046,2025-06-01,1,54,623.59,0,54.62,True
S100046,2025-07-01,2,120,2414.75,1,266.35,True
S100046,2025-08-01,3,77,1496.47,4,87.31,True
S100046,2025-09-01,4,56,1997.68,1,132.08,True
S100046,2025-10-01,5,110,2535.21,6,141.6,True
S100046,2025-11-01,6,35,954.59,1,43.03,True
S100046,2025-12-01,7,129,2764.56,9,225.8,True
S100046,2026-01-01,8,25,749.25,0,29.82,True
S100046,2026-02-01,9,58,1139.4,5,89.39,True
S100046,2026-03-01,10,31,760.5,2,25.65,True
S100046,2026-04-01,11,139,4446.09,15,260.27,True
S100046,2026-05-01,12,113,3090.29,6,314.28,True
S100046,2026-06-01,13,50,1785.07,2,150.78,True
S100047,2025-02-01,0,12,493.16,3,18.44,True
S100047,2025-03-01,1,3,65.24,1,3.39,True
S100047,2025-04-01,2,4,101.91,0,6.08,True
S100047,2025-05-01,3,8,315.31,1,10.06,True
S100047,2025-06-01,4,12,280.35,2,19.93,True
S100047,2025-07-01,5,13,418.74,4,10.98,True
S100047,2025-08-01,6,8,135.23,3,11.32,True
S100047,2025-09-01,7,28,594.68,4,47.57,True
S100048,2025-12-01,0,64,1669.84,4,144.86,True
S100048,2026-01-01,1,40,1130.66,5,52.71,True
S100048,2026-02-01,2,15,467.62,2,32.51,True
S100048,2026-03-01,3,36,947.81,2,75.09,True
S100048,2026-04-01,4,33,847.8,1,47.31,True
S100049,2024-08-01,0,54,976.17,3,100.58,True
S100049,2024-09-01,1,124,1761.45,2,92.71,True
S100049,2024-10-01,2,92,1508.12,0,101.45,True
S100049,2024-11-01,3,49,385.89,2,32.02,True
S100050,2024-11-01,0,7,613.91,1,21.42,True
S100050,2024-12-01,1,62,6238.62,8,295.26,True
S100050,2025-01-01,2,15,1109.45,3,38.25,True
S100050,2025-02-01,3,21,1052.85,2,51.9,True
S100050,2025-03-01,4,36,2755.94,2,88.91,True
S100050,2025-04-01,5,17,951.17,0,35.65,True
S100050,2025-05-01,6,35,1747.85,7,73.07,True
S100050,2025-06-01,7,75,4591.93,7,205.55,True
S100050,2025-07-01,8,21,998.04,3,27.53,True
S100050,2025-08-01,9,36,2449.61,3,56.29,True
S100050,2025-09-01,10,19,1623.4,2,36.94,True
S100050,2025-10-01,11,9,494.78,1,35.92,True
S100050,2025-11-01,12,31,2715.89,4,177.11,True
S100050,2025-12-01,13,15,911.74,1,47.07,True
S100050,2026-01-01,14,20,1528.89,2,88.59,True
S100050,2026-02-01,15,52,3405.73,6,77.41,True
S100050,2026-03-01,16,73,5728.45,5,499.05,True
S100050,2026-04-01,17,16,1025.92,0,82.77,True
S100050,2026-05-01,18,48,3304.31,4,283.79,True
S100050,2026-06-01,19,23,1611.94,1,68.18,True
S100051,2024-01-01,0,42,1128.14,5,90.86,True
S100051,2024-02-01,1,46,2017.45,7,62.34,True
S100051,2024-03-01,2,19,724.2,0,20.03,True
S100051,2024-04-01,3,16,809.59,0,54.29,True
S100051,2024-05-01,4,26,314.69,3,15.45,True
S100051,2024-06-01,5,23,693.41,0,58.81,True
S100051,2024-07-01,6,20,498.34,0,29.7,True
S100051,2024-08-01,7,75,1667.38,11,97.13,True
S100051,2024-09-01,8,14,446.49,0,27.02,True
S100051,2024-10-01,9,28,1316.27,2,87.98,True
S100051,2024-11-01,10,48,1856.1,6,44.12,True
S100051,2024-12-01,11,54,2085.06,3,172.88,True
S100051,2025-01-01,12,9,144.19,0,5.47,True
S100051,2025-02-01,13,82,3239.98,5,131.17,True
S100051,2025-03-01,14,23,648.01,1,19.59,True
S100051,2025-04-01,15,23,977.76,3,42.18,True
S100051,2025-05-01,16,59,1623.76,1,122.21,True
S100052,2026-02-01,0,21,516.56,1,28.59,True
S100052,2026-03-01,1,22,471.82,1,26.49,True
S100052,2026-04-01,2,10,147.69,1,6.53,True
S100052,2026-05-01,3,15,319.01,0,26.05,True
S100052,2026-06-01,4,9,212.13,0,12.15,True
S100053,2025-12-01,0,26,620.37,2,17.88,True
S100053,2026-01-01,1,38,699.96,0,57.87,True
S100053,2026-02-01,2,29,1011.17,2,87.96,True
S100053,2026-03-01,3,27,1025.74,1,26.67,True
S100053,2026-04-01,4,61,1325.94,6,34.69,True
S100053,2026-05-01,5,27,883.48,2,35.34,True
S100053,2026-06-01,6,26,825.67,0,50.55,True
S100054,2026-01-01,0,32,527.76,1,40.3,True
S100054,2026-02-01,1,13,278.73,1,21.84,True
S100054,2026-03-01,2,35,1025.0,3,93.93,True
S100054,2026-04-01,3,32,706.94,2,38.23,True
S100054,2026-05-01,4,8,91.93,0,9.09,True
S100054,2026-06-01,5,31,676.1,2,47.28,True
S100055,2026-02-01,0,15,228.87,0,8.04,True
S100055,2026-03-01,1,11,98.04,0,2.98,True
S100055,2026-04-01,2,20,296.27,2,14.36,True
S100055,2026-05-01,3,22,265.73,0,17.15,True
S100055,2026-06-01,4,33,602.94,1,28.39,True
S100056,2025-07-01,0,10,243.01,1,7.74,True
S100056,2025-08-01,1,36,911.48,3,79.96,True
S100056,2025-09-01,2,16,317.84,1,18.27,True
S100056,2025-10-01,3,18,378.57,1,8.32,True
S100056,2025-11-01,4,24,438.27,0,13.7,True
S100056,2025-12-01,5,42,602.76,1,50.47,True
S100056,2026-01-01,6,29,805.68,1,16.18,True
S100056,2026-02-01,7,37,408.13,4,21.97,True
S100056,2026-03-01,8,32,751.65,4,67.26,True
S100056,2026-04-01,9,22,226.34,1,13.31,True
S100056,2026-05-01,10,37,931.19,2,41.8,True
S100056,2026-06-01,11,44,1110.62,2,45.42,True
S100057,2025-09-01,0,30,828.1,8,43.99,True
S100057,2025-10-01,1,26,894.71,2,79.87,True
S100057,2025-11-01,2,30,624.53,1,56.18,True
S100057,2025-12-01,3,21,705.6,1,49.52,True
S100057,2026-01-01,4,68,2843.19,15,221.13,True
S100058,2024-08-01,0,55,1109.84,8,38.26,True
S100058,2024-09-01,1,91,3085.82,6,250.53,True
S100058,2024-10-01,2,38,824.36,2,91.62,True
S100058,2024-11-01,3,151,3870.5,10,130.07,True
S100058,2024-12-01,4,149,3072.67,10,350.5,True
S100058,2025-01-01,5,62,1411.14,5,49.08,True
S100058,2025-02-01,6,74,1923.1,6,207.33,True
S100058,2025-03-01,7,94,3309.07,8,271.05,True
S100058,2025-04-01,8,148,3428.04,12,331.02,True
S100058,2025-05-01,9,110,2604.89,10,292.6,True
S100058,2025-06-01,10,66,2708.02,5,136.37,True
S100058,2025-07-01,11,113,3677.46,1,343.62,True
S100058,2025-08-01,12,92,2680.05,4,224.71,True
S100058,2025-09-01,13,21,673.91,1,57.08,True
S100058,2025-10-01,14,28,656.2,1,50.99,True
S100058,2025-11-01,15,105,4625.29,8,530.68,True
S100058,2025-12-01,16,76,2058.69,6,184.8,True
S100058,2026-01-01,17,75,1585.98,2,71.27,True
S100058,2026-02-01,18,104,3770.86,7,169.59,True
S100058,2026-03-01,19,33,817.22,3,48.44,True
S100058,2026-04-01,20,49,1848.09,3,122.05,True
S100058,2026-05-01,21,43,1897.05,3,215.59,True
S100058,2026-06-01,22,150,3728.92,7,199.68,True
S100059,2024-07-01,0,27,431.98,4,23.49,True
S100059,2024-08-01,1,20,473.18,2,33.25,True
S100059,2024-09-01,2,34,878.89,2,29.36,True
S100059,2024-10-01,3,8,153.35,0,3.5,True
S100059,2024-11-01,4,28,808.94,0,19.74,True
S100059,2024-12-01,5,16,325.5,0,21.26,True
S100059,2025-01-01,6,8,230.23,0,14.46,True
S100059,2025-02-01,7,29,491.52,0,24.01,True
S100059,2025-03-01,8,9,171.73,1,7.5,True
S100059,2025-04-01,9,34,849.56,2,38.74,True
S100059,2025-05-01,10,14,394.75,0,14.24,True
S100059,2025-06-01,11,55,1163.87,6,101.47,True
S100060,2025-12-01,0,30,1530.0,4,151.82,True
S100060,2026-01-01,1,81,6724.89,11,594.99,True
S100060,2026-02-01,2,56,3033.25,2,116.99,True
S100060,2026-03-01,3,38,1323.45,6,92.3,True
S100060,2026-04-01,4,87,5207.51,8,480.83,True
S100060,2026-05-01,5,51,1811.81,5,81.46,True
S100060,2026-06-01,6,134,9936.49,12,727.43,True
S100061,2025-07-01,0,46,1451.58,5,150.47,True
S100061,2025-08-01,1,158,1257.3,37,95.53,True
S100061,2025-09-01,2,57,1860.86,9,186.33,True
S100061,2025-10-01,3,94,3723.37,12,375.68,True
S100061,2025-11-01,4,95,2242.27,20,230.09,True
S100061,2025-12-01,5,142,4167.36,33,367.61,True
S100061,2026-01-01,6,55,1172.52,10,85.16,True
S100061,2026-02-01,7,97,3152.87,14,357.94,True
S100062,2025-09-01,0,21,344.8,2,25.23,True
